specId,testId,state,code,severity,respTime,url,method,ic,numValid,numInvalid,hasPayload,hasDate,hasDateTime,hasInt32,hasInt64,hasFloat,hasDouble,hasEmpty,hasRange,hasSymbol,hasGreater,hasLower,hasBTrue,hasBFalse,hasSRange,hasLang
3,151,failed,400,1,4,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
3,152,failed,400,1,4,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
3,153,failed,400,1,5,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
3,154,failed,400,1,4,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
3,155,failed,400,1,6,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
3,156,failed,400,1,5,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
3,157,failed,400,1,5,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
3,158,failed,400,1,5,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
3,159,failed,400,1,4,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
3,160,failed,400,1,4,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
3,161,failed,400,1,4,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
3,162,failed,400,1,4,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
3,163,failed,400,1,4,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
3,164,failed,400,1,3,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
3,165,failed,400,1,5,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
3,166,failed,400,1,3,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
3,167,failed,400,1,4,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
3,168,failed,400,1,4,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
3,169,failed,400,1,4,http://host.docker.internal:12031/api/v1/orderservice/order,PUT,16,14,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
